Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description,Job Title Classified Group
Lee & Associates,Minnesota,Associate,Real Estate - Commercial Brokerage,"10. Construction, Engineering & Real Estate",Entry-level professional who supports senior team members in various business functions.,Engineering
Baker Tilly,Minnesota,Audit,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
Banner Engineering,Minnesota,Industry Analyst,Manufacturing - Industrial Sensors,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Operations & Supply Chain
Baxter Insurance Group,Minnesota,Agent,Financial Services - Insurance,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Sales & Business Development
Mayo Clinic,Minnesota,Physical therapy tech,Healthcare - Hospital & Research,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Best Buy,Minnesota,Financial Analyst,Retail - Electronics,8. Retail & Consumer Products,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting.",Finance & Accounting
"Naviant, Inc",Wisconsin,Business development Specialist,Technology - Intelligent Automation,1. Technology & Software,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Sales & Business Development
Best Buy,Minnesota,Category Management Analyst,Retail - Electronics,8. Retail & Consumer Products,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Sales & Business Development
Heritage Environmental Services,Minnesota,Leadership Development Program- Finance Representative,Professional Services - Environmental,7. Professional Services & Consulting,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues.",Finance & Accounting
Culvers,Minnesota,General Manager,Hospitality - Restaurant,8. Retail & Consumer Products,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
BI WORLDWIDE,Minnesota,Individual Incentive Travel Consultant,Marketing - Employee Engagement,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Consulting & Advisory
Bio-Techne,Minnesota,Research Associate,Healthcare - Biotechnology,1. Technology & Software,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Research & Science
Blue Cross Blue Shield,,Financial Underwriter,Healthcare - Health Insurance,2. Healthcare & Medical,Evaluates risk factors to determine appropriate terms and pricing for insurance policies or financial products.,Finance & Accounting
QualiTech,Minnesota,Senior Director of Marketing and Innovation,Manufacturing - Animal Nutrition,4. Manufacturing & Industrial,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making.",Marketing & Communications
Bolton & Menk,Minnesota,Graduate Design Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Bolton and Menk,Minnesota,Graduate Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Boston Scientific,Minnesota,Data Scientist,Healthcare - Medical Devices,2. Healthcare & Medical,"Uses advanced analytics, machine learning, and statistical methods to extract insights from complex data sets.",Research & Science
Brooksource,Minnesota,Recruiter,Professional Services - IT Staffing,7. Professional Services & Consulting,"Sources, screens, and recruits top talent for open positions, managing the full hiring lifecycle from outreach to offer.",Human Resources
Burlington,California,Assistant Buyer,Retail - Discount Apparel,8. Retail & Consumer Products,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Operations & Supply Chain
Burns & McDonnell,Minnesota,Assistant Civil Engineer,Engineering - Architecture & Construction,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Burns and McDonnell,Minnesota,Assistant Civil Engineer,Engineering - Architecture & Construction,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Calspan ASE,Minnesota,Software Engineer,Engineering - Aerospace Testing,"10. Construction, Engineering & Real Estate","Designs, develops, tests, and maintains software applications and systems.",Software & IT
Caravel Autism Health,Wisconsin,Behavior technician,Healthcare - Autism Treatment,2. Healthcare & Medical,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance.",Engineering
Cargill,Minnesota,Operations Supervisor,Manufacturing - Agriculture & Food,4. Manufacturing & Industrial,"Oversees daily operations and manages staff performance, ensuring workflows run efficiently and team targets are met.",Operations & Supply Chain
Cargill,Minnesota,Chemist,Manufacturing - Agriculture & Food,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Research & Science
Baker Tilly,Illinois,Housing Market Analyst,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
CBRE,Minnesota,Real Estate Accountant,Real Estate - Commercial Services,"10. Construction, Engineering & Real Estate","Prepares, reviews, and manages financial records, tax filings, and compliance documentation to maintain fiscal accuracy.",Finance & Accounting
CDW,Minnesota,Sales Rep,Technology - IT Solutions Distribution,1. Technology & Software,"Drives revenue by identifying prospects, building client relationships, and closing deals on products or services.",Sales & Business Development
Channel Partners Capital,Minnesota,Marketing Coordinator,Financial Services,3. Financial Services & Insurance,"Supports marketing campaigns, coordinates events, manages social media, and assists with content creation.",Marketing & Communications
Molson Coors,Wisconsin,Financial Analyst,Manufacturing - Beverages,4. Manufacturing & Industrial,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting.",Finance & Accounting
The Toro company,Minnesota,Financial analyst,Manufacturing - Outdoor Equipment,4. Manufacturing & Industrial,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting.",Finance & Accounting
Child Protection Services McLeod County,Minnesota,Child Protection Specialist,Government - Child Protection,6. Government & Public Service,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Government & Public Service
Christensen Group Insurance,Minnesota,Agency Services Intern,Financial Services - Insurance,3. Financial Services & Insurance,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Finance & Accounting
CHS inc,Minnesota,Enterprise Data Analyst,Manufacturing - Agriculture Cooperative,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Operations & Supply Chain
Chu Vision Institute,Minnesota,Opthalmic Technician,Healthcare - Ophthalmology,2. Healthcare & Medical,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance.",Engineering
Cigna,Minnesota,Software Engineer,Healthcare - Health Insurance,2. Healthcare & Medical,"Designs, develops, tests, and maintains software applications and systems.",Software & IT
Anoka-Hennepin Schools,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.,Education & Teaching
City of Bloomington,Minnesota,Management Intern,Government - Municipal,6. Government & Public Service,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Government & Public Service
City of Edina,Minnesota,Environmental Public Health intern,Government - Municipal,6. Government & Public Service,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Healthcare & Clinical
City of International Falls,Minnesota,Laborer,Government - Municipal,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Government & Public Service
City of Woodbury,Minnesota,Environmental science intern,Government - Municipal,6. Government & Public Service,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Research & Science
Deluxe,Minnesota,Accounting Analyst,Financial Services - Payments & Business Technology,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
Target,Minnesota,Sr. Supply Chain Project Manager,Retail - Mass Merchandise,8. Retail & Consumer Products,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Operations & Supply Chain
Clarios,Wisconsin,Product Engineer,Manufacturing - Car Batteries,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Ecolab,Minnesota,Associate Financial Analyst II - Global Supply Chain Finance,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
CLA,Minnesota,Valuation Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Finance & Accounting
College Possible,Minnesota,Navigate College Coach,Education - Nonprofit,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Education & Teaching
Collins Engineers Inc,Minnesota,Structural Inspection Engineer,Engineering - Structural,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Commscope,Minnesota,Design Engineer,Technology - Networking Equipment,1. Technology & Software,Creates detailed designs for products or components using CAD software and engineering principles.,Engineering
Donaldson,Minnesota,Associate Financial Analyst,Manufacturing - Filtration Systems,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
CTS Holdings Corp DBA Wissota Industries,Minnesota,General Manager,Manufacturing - Custom Manufacturing,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
Cub pharmacy,Minnesota,Pharmacy tech,Healthcare - Pharmacy,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Dahl Consulting,Minnesota,Business Development Rep.,Professional Services,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Sales & Business Development
Daikin Applied,Minnesota,Control Development Engineer,Manufacturing - HVAC,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
St. Thomas,Minnesota,Student Writer,Education - University,5. Education & Academia,"Creates, edits, and manages written content across various platforms and media channels.",Marketing & Communications
Daimler Trucks North America,Minnesota,Electric High Voltage Product Design Engineer I,Manufacturing - Commercial Vehicles,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Dakota County,Minnesota,Program Analyst,Government - County,6. Government & Public Service,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Government & Public Service
Deloitte,Minnesota,Actuarial Analyst,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Uses mathematics, statistics, and financial theory to study uncertain future events, especially in insurance and pension programs.",Finance & Accounting
Deloitte llp,Minnesota,Dc solution specialist,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Consulting & Advisory
Deloitte,Minnesota,Audit Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls.",Finance & Accounting
Methodist,Minnesota,Cna,Healthcare - Hospital,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Graco,Minnesota,Manufacturing engineer,Manufacturing - Fluid Handling Equipment,4. Manufacturing & Industrial,"Develops and improves manufacturing processes, designs production layouts, and ensures product quality.",Engineering
Deloitte,Minnesota,Tax Consultant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Finance & Accounting
Trelleborg Sealing Solution,Minnesota,Manufacturing Engineer,Manufacturing - Sealing Solutions,4. Manufacturing & Industrial,"Develops and improves manufacturing processes, designs production layouts, and ensures product quality.",Engineering
Deloitte,Minnesota,Audit assistant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Finance & Accounting
Deloitte,Minnesota,Audit Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls.",Finance & Accounting
Wells Fargo,Minnesota,Audit Associate,Financial Services - Banking,3. Financial Services & Insurance,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls.",Finance & Accounting
BTD Manufacturing,Illinois,Manufacturing Manager,Manufacturing - Metal Fabrication,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Operations & Supply Chain
CNA,Minnesota,Insurance Underwriting,Financial Services - Insurance,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
Department of Defense,New Jersey,Project Manager Electrical Engineer,Government - Federal,6. Government & Public Service,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Design Ready Controls,Minnesota,Electrical Controls Engineer,Manufacturing - Electrical Control Panels,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Direct Clicks Inc.,Minnesota,Account Manager,Marketing - Digital Marketing,7. Professional Services & Consulting,"Manages client relationships, ensures customer satisfaction, and identifies growth opportunities.",Sales & Business Development
Gravie,Minnesota,Product Strategy Analyst,Financial Services - Health Benefits,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Consulting & Advisory
Doran,Minnesota,Development Associate,Construction - Real Estate Development,"10. Construction, Engineering & Real Estate","Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Engineering
Anoka Hennepin School District #11,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.,Education & Teaching
Down Home Ranch Camp and University of Minnesota,Minnesota,Counselor coordinator for summer at Down Home Ranch Camp / lab manager at UMN,Nonprofit - Camp,6. Government & Public Service,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Healthcare & Clinical
Dunham Associates,Minnesota,Mechanical Engineering Designer I,Engineering - MEP,"10. Construction, Engineering & Real Estate","Shapes visual identities, user experiences, or product concepts through creative design thinking and iterative prototyping.",Engineering
RuppAir,Minnesota,Territory Development Manager,Manufacturing - HVAC,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
E&M Consulting Inc.,Minnesota,Sales Associate,Marketing - Publishing,7. Professional Services & Consulting,"Assists customers in retail or business settings, processes transactions, and meets sales targets.",Sales & Business Development
Ebenezer,Minnesota,Resident Assistant,Nonprofit - Senior Living,6. Government & Public Service,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Government & Public Service
Chartwell Financial,Minnesota,Analyst,Financial Services - Financial Planning,3. Financial Services & Insurance,"Examines data and information to provide insights, recommendations, and support decision-making.",Finance & Accounting
Emergency Care Consultants,Minnesota,Scribe,Healthcare - Emergency Medicine,2. Healthcare & Medical,"Documents information—typically medical encounters—in real-time, ensuring thorough and accurate records for clinical use.",Healthcare & Clinical
Emergency Care Consultants,Minnesota,Medical Scribe,Healthcare - Emergency Medicine,2. Healthcare & Medical,"Documents patient encounters in real-time, assisting physicians with electronic health record documentation.",Healthcare & Clinical
Epic Systems,Wisconsin,Project Manager,Technology - Healthcare IT,1. Technology & Software,"Plans, executes, and closes projects, managing scope, schedule, budget, and team resources.",Management & Leadership
Epicor,Minnesota,Account Manager,Technology - Enterprise Software,1. Technology & Software,"Manages client relationships, ensures customer satisfaction, and identifies growth opportunities.",Sales & Business Development
Epiphany Catholic School,Minnesota,P. E. Teacher,Education - Private K-12,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences.",Education & Teaching
Eppa,Minnesota,Scribe,Healthcare - Pain Management,2. Healthcare & Medical,"Documents information—typically medical encounters—in real-time, ensuring thorough and accurate records for clinical use.",Healthcare & Clinical
EPPA,Minnesota,medical scribe,Healthcare - Pain Management,2. Healthcare & Medical,"Documents patient encounters in real-time, assisting physicians with electronic health record documentation.",Healthcare & Clinical
Ericksen Roed and Associates,Minnesota,Entry level structural engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Ernst & Young,Minnesota,FSO Audit Staff,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
Ernst and Young,Minnesota,Auditor,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Reviews financial records and operational procedures to verify accuracy, ensure regulatory compliance, and mitigate risk.",Finance & Accounting
Accenture,Minnesota,Parelegal,Technology - IT Consulting,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Software & IT
ESNS,Minnesota,Communication manager,Technology - Energy Software,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Marketing & Communications
Evans Transportation,Minnesota,Pricing Analyst,Transportation - Logistics,7. Professional Services & Consulting,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Consulting & Advisory
Evans Transportation,Minnesota,Carrier Procurement,Transportation - Logistics,7. Professional Services & Consulting,"Manages the end-to-end flow of goods, services, and information across the supply chain, from sourcing through delivery.",Operations & Supply Chain
EY,Minnesota,Tax associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities.",Finance & Accounting
EY,Minnesota,Enterprise Risk Consultant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Consulting & Advisory
EY,Wisconsin,Audit Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls.",Finance & Accounting
fairview health services,Minnesota,social worker,Healthcare - Hospital System,2. Healthcare & Medical,"Helps individuals and families cope with challenges, connects them with resources, and advocates for their well-being.",Healthcare & Clinical
FAST Enterprises,Minnesota,Implementation Consultant,Technology - Government Software,1. Technology & Software,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Consulting & Advisory
FMP,Minnesota,Accounts Receivable Rep,Professional Services - Organizational Development,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
Food to People,Minnesota,Chief Executive Officer,Nonprofit - Food Security,6. Government & Public Service,"Holds strategic decision-making authority at the senior level, shaping organizational direction and driving high-impact outcomes.",Management & Leadership
Fortitude Systems,Illinois,Account Manager,Technology - IT Services,1. Technology & Software,"Manages client relationships, ensures customer satisfaction, and identifies growth opportunities.",Sales & Business Development
Freewriters,Minnesota,Intern,Professional Services - Content Writing,7. Professional Services & Consulting,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Consulting & Advisory
fritz bar and grill,Minnesota,line/prep cook,Hospitality - Restaurant,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Sales & Business Development
Fulbright,Minnesota,English Teaching Assistant,Education - Fellowship / Exchange,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Education & Teaching
Barr Engineering Co,Minnesota,Business Development Specialist,Engineering - Environmental & Water,"10. Construction, Engineering & Real Estate","Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Sales & Business Development
Gallagher Re,Wisconsin,Financial Analyst,Financial Services - Reinsurance,3. Financial Services & Insurance,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting.",Finance & Accounting
General Mills,Minnesota,Sourcing Analyst,Manufacturing - Food & Beverages,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Operations & Supply Chain
General Mills,Wisconsin,Sourcing Analyst,Manufacturing - Food & Beverages,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Operations & Supply Chain
Polaris Inc.,Alabama,Financial Analyst,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting.",Finance & Accounting
Gertens,Minnesota,Accounting Assistant/ Accounts Receivable,Retail - Garden Center,8. Retail & Consumer Products,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Finance & Accounting
Graco,Minnesota,Digital Marketing Associate,Manufacturing - Fluid Handling Equipment,4. Manufacturing & Industrial,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Marketing & Communications
Global Academy,Minnesota,Special Education Teacher,Education - Online Learning,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.,Education & Teaching
Zurich,Minnesota,Underwriter,Financial Services - Insurance,3. Financial Services & Insurance,Evaluates risk factors to determine appropriate terms and pricing for insurance policies or financial products.,Finance & Accounting
Boston College,Minnesota,PhD Student,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Education & Teaching
Greystar,Tennessee,Assistant Property Manager,Real Estate - Property Management,"10. Construction, Engineering & Real Estate","Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
3M,Minnesota,Data Governance and Data Quality Lead,Diversified Technology & Manufacturing,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Data & Analytics
Anderson & Anderson Law LLC,Minnesota,Paralegal,Professional Services - Law Firm,7. Professional Services & Consulting,"Assists attorneys with legal research, document preparation, case management, and trial preparation.",Legal
Grifols,Minnesota,Clinic Medical Staff,Healthcare - Blood Plasma / Diagnostics,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Haberman,Minnesota,PR Specialist,Marketing - Advertising Agency,7. Professional Services & Consulting,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Marketing & Communications
Hays Financial Group,Minnesota,Relationship/Compliance Manager,Financial Services - Financial Planning,3. Financial Services & Insurance,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Finance & Accounting
Hazelden Betty Ford Foundation,Minnesota,Addiction Counselor,Nonprofit - Addiction Treatment,6. Government & Public Service,"Guides individuals through personal, academic, or career challenges, offering support, resources, and actionable strategies.",Healthcare & Clinical
HDR,Minnesota,Substation Coordinator,Engineering - Architecture & Design,"10. Construction, Engineering & Real Estate","Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Engineering
HealthPartners,Minnesota,Web Developer,Healthcare - Insurance & Hospital System,2. Healthcare & Medical,Builds and maintains websites and web applications using programming languages and frameworks.,Software & IT
HealthSource Solutions/Cargill,Minnesota,Fitness Specialist,Healthcare - Workplace Wellness,2. Healthcare & Medical,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Healthcare & Clinical
Church of St. William,Minnesota,Director of Faith Formation,Nonprofit - Religious,6. Government & Public Service,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making.",Nonprofit & Social Services
Procuraduria General de la Nacion,Do not live in the United States,Legal Couseler,Government - International (Colombia),6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Legal
Wells Fargo,Minnesota,Audit analyst,Financial Services - Banking,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
Holy Land Brand Inc,Minnesota,Project Manager,Manufacturing - Food Products,4. Manufacturing & Industrial,"Plans, executes, and closes projects, managing scope, schedule, budget, and team resources.",Management & Leadership
Horton,Minnesota,Application Engineer,Manufacturing - Industrial Fans,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Software & IT
Best Buy,Minnesota,Sourcing Operations Specialist,Retail - Electronics,8. Retail & Consumer Products,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Operations & Supply Chain
Housing Hub of MN,Minnesota,Property Management Associate,Nonprofit - Housing,6. Government & Public Service,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Government & Public Service
Bailiwick,Minnesota,Solution Architect,Professional Services - Facility Services,7. Professional Services & Consulting,"Designs structures, systems, or software architectures by applying established principles, codes, and industry standards.",Design & Creative
Xerxes Global,Minnesota,Manager,Professional Services - Consulting,7. Professional Services & Consulting,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
iHeartMedia,Minnesota,Brand Ambassador Intern,Media - Radio Broadcasting,8. Retail & Consumer Products,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Marketing & Communications
Infor,Minnesota,Devops engineer,Technology - Enterprise Software,1. Technology & Software,"Bridges development and operations teams, automating deployment pipelines and managing infrastructure.",Software & IT
Morgan Stanley,Wisconsin,Financial Advisor,Financial Services - Investment Banking,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
Intact Insurance,Minnesota,Actuarial Trainee,Financial Services - Insurance,3. Financial Services & Insurance,"Applies statistical methods to model and assess risk, informing pricing and policy decisions in insurance and finance.",Finance & Accounting
Irish Titan,Minnesota,Marketing Associate,Technology - E-Commerce Development,1. Technology & Software,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Marketing & Communications
JET Program,Minnesota,American Culture and Language Ambassador,Education - Teaching Abroad (Japan),5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Nonprofit & Social Services
JT Mega,Minnesota,Copywriter Intern,Technology,1. Technology & Software,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Marketing & Communications
KARE 11,Minnesota,Assignment Editor/Producer,Media - Television News,8. Retail & Consumer Products,"Creates, edits, and manages written content across various platforms and media channels.",Marketing & Communications
U.S. Bank,Minnesota,Systems Engineer,Financial Services - Banking,3. Financial Services & Insurance,Designs and manages complex engineering systems throughout their lifecycle.,Software & IT
Kaskaskia Engineering Group,Minnesota,Staff Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
KCI Technologies,Minnesota,EIT Transportation Engineer,Engineering - Infrastructure,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Department of Human Services,Minnesota,Data Analysts,Government - Social Services,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Government & Public Service
Kinship Community Food Center,Wisconsin,Mission Intern,Nonprofit - Food Security,6. Government & Public Service,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Government & Public Service
Kose Digital,Minnesota,Digital Media Intern,Marketing - Digital Marketing,7. Professional Services & Consulting,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Consulting & Advisory
KSTP-TV,Minnesota,Content Desk Editor,Media - Television News,8. Retail & Consumer Products,"Creates, edits, and manages written content across various platforms and media channels.",Marketing & Communications
Natalis Psychology and Solutions,Minnesota,Mental health practitioner,Healthcare - Psychology,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Kuczek and Associates,Illinois,Legal Intern,Professional Services - Law Firm,7. Professional Services & Consulting,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Legal
Maxim,Illinois,Healthcare Recruiter,Professional Services - Staffing,7. Professional Services & Consulting,"Sources, screens, and recruits top talent for open positions, managing the full hiring lifecycle from outreach to offer.",Healthcare & Clinical
