Job Title,Description,Why It May Seem Unrelated
Shipt Shopper,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Shopper,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Social Work Trainee,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Spanish Educator,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences.","This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
"Special Education, Federal Setting III Emotional Behavioural Disorder",Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Sr. Digital Marketer,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Student Worker- Victim Services Unit,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Student-Athlete Mentor,Professional or competitive sports player,Specialized profession based on athletic talent rather than academic credentials.
Subject Matter Expert,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Summit MarketPlace Worker,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
System Operator,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Talent Business Partner,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Tech Aid,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Tetra Tech Field Archaeologist,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Therapiest,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Trader,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Trivia Jockey,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Trust and Investments at City State Bank,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Unemployed,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Urban Realtor,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Urban Scholar,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
"VP, Mission Advancement",Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Valet Attendant,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Volunteer Corrdinator,Unpaid helper for an organization,Volunteer positions are unpaid and may not represent career employment.
Wealth and investment management,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Wholesale Broker,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Youth Minister,Religious leader or clergy member,Faith-based vocation.
au' pair,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
mental health worker,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
workforce programs partner,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
