Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Minneapolis College (MCTC),Minnesota,Latinx Empowerment & Recruitment Program Coordinator,Education - Community College,5. Education & Academia,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Minneapolis Regional Chamber,Minnesota,Director of Communications,Nonprofit - Business Association,6. Government & Public Service,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Minnesota Department of Employment and Economic Development,Minnesota,HR Transactions Specialist II,Government - State,6. Government & Public Service,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Minnesota DFL,Minnesota,DFL House Finance Intern,Government - Political,6. Government & Public Service,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
Minnesota Hospital Association,Minnesota,Communications Coordinator,Nonprofit - Healthcare Industry Group,2. Healthcare & Medical,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Minnesota IT Services,Minnesota,IT2 Asset Coordinator,Government - State IT,6. Government & Public Service,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Minnesota Jewish Community Center,Minnesota,Inclusion Coordinator,Nonprofit - Community Center,6. Government & Public Service,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Minnesota National Guard,Minnesota,Second Lieutenant,Government - Military,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Minnesota Thunder Academy,Minnesota,Soccer Coach,Entertainment - Youth Soccer,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Minnesota Wild,Minnesota,Promotions Crew,Entertainment - Professional Sports,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Modern Automotive Performance,Minnesota,Senior Demand Planner and Inventory Analyst,Retail - Automotive Performance Parts,8. Retail & Consumer Products,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Mortenson Construction,Minnesota,Accounts receivable,Construction - General,"10. Construction, Engineering & Real Estate",Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Multifeeder technology,Minnesota,Integration Engineer I,Manufacturing - Paper Feeding Equipment,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Municipal Parking Services,Minnesota,Software Engineer,Transportation - Parking Management,7. Professional Services & Consulting,"Designs, develops, tests, and maintains software applications and systems."
My Global Data Inc.,Minnesota,Software Developer,Technology - Data Services,1. Technology & Software,"Builds, codes, and deploys software applications or systems, translating requirements into functional, reliable solutions."
My Very Own Bed,Minnesota,Intern,Nonprofit - Children,6. Government & Public Service,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
Mystic Lake Casino Hotel,Minnesota,Social Gaming Representative,Hospitality - Casino & Resort,8. Retail & Consumer Products,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
Nagios Enterprises,Wisconsin,Sales Development Representative,Technology - IT Monitoring Software,1. Technology & Software,"Generates new business opportunities through outbound prospecting, cold calling, and email outreach."
NASA,Minnesota,Financial Analyst,Government - Federal Space Agency,6. Government & Public Service,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
National Ataxia Foundation,Minnesota,Research services coordinator,Nonprofit - Medical Research,6. Government & Public Service,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
National Grid Renewables,Minnesota,GIS Intern,Energy - Renewable Energy,9. Energy & Utilities,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
National Grid Renewables,Minnesota,Marketing Associate,Energy - Renewable Energy,9. Energy & Utilities,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
National Information Solutions Cooperative,Minnesota,Software Developer,Technology - Utility Software,1. Technology & Software,"Builds, codes, and deploys software applications or systems, translating requirements into functional, reliable solutions."
National Information Solutions Cooperative (NISC),Minnesota,Software Developer,Technology - Utility Software,1. Technology & Software,"Builds, codes, and deploys software applications or systems, translating requirements into functional, reliable solutions."
Nativity Early Learning Center,Minnesota,Lead Teacher,Education - Early Childhood,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Navegate,Minnesota,"Account Manager, import ocean",Professional Services - Management Consulting,7. Professional Services & Consulting,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Naviant,Wisconsin,Business Development Specialist,Technology - Intelligent Automation,1. Technology & Software,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
NetSPI,Minnesota,Sales Development Representative,Technology - Cybersecurity,1. Technology & Software,"Generates new business opportunities through outbound prospecting, cold calling, and email outreach."
NetSPI,Minnesota,Sales Development Representative,Technology - Cybersecurity,1. Technology & Software,"Generates new business opportunities through outbound prospecting, cold calling, and email outreach."
NetSPI,Minnesota,Sales Development Representative,Technology - Cybersecurity,1. Technology & Software,"Generates new business opportunities through outbound prospecting, cold calling, and email outreach."
NetWorth Realty USA,Texas,Sales Associate,Real Estate - Investment,"10. Construction, Engineering & Real Estate","Assists customers in retail or business settings, processes transactions, and meets sales targets."
New Hudson Facades,Minnesota,Mechanical engineer I,Construction - Building Facades,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Newell Brands,Georgia,Finance Analyst,Manufacturing - Consumer Products,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
NISC,Minnesota,System Specialist,Technology - Utility Software,1. Technology & Software,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
No,Minnesota,Developer,Not Disclosed,Other,"Builds, codes, and deploys software applications or systems, translating requirements into functional, reliable solutions."
Nomi Network,New York,Development Admin,Nonprofit - Anti-Trafficking,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Nonviolent Peaceforce,Do not live in the United States,Volunteer Coordinator,Nonprofit - Peacebuilding,6. Government & Public Service,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Nordson Medical,Minnesota,Engineer I,Healthcare - Medical Device Manufacturing,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Nordstrom,Washington,Customer Service Experience Representative,Retail - Department Store,8. Retail & Consumer Products,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
North Star Resource Group,Minnesota,Practice Coordinator,Financial Services - Financial Planning,3. Financial Services & Insurance,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
NorthMarq,Minnesota,Loan Operations Coordinator,Financial Services - Commercial Real Estate Finance,3. Financial Services & Insurance,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Northrop Grumman,Minnesota,Production transition engineer,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Northwestern Mutual,Minnesota,Associate Financial Representative,Financial Services - Life Insurance & Wealth,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Northwestern Mutual,Wisconsin,Campus Recruiter,Financial Services - Life Insurance & Wealth,3. Financial Services & Insurance,"Sources, screens, and recruits top talent for open positions, managing the full hiring lifecycle from outreach to offer."
Northwestern Mutual,Minnesota,Recruiting Coordinator,Financial Services - Life Insurance & Wealth,3. Financial Services & Insurance,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Nuveen,Minnesota,Investment Performance Analyst,Financial Services - Investment Management,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
NYLIFE Securities LLC,New York,Financial Services Professional,Financial Services - Life Insurance,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Ol' Mexico Restaurante & Cantina,Minnesota,Manager,Hospitality - Restaurant,8. Retail & Consumer Products,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Olives Fresh,Minnesota,Kitchen Staff,Retail - Grocery,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Olufemi B Ijadimbola CPA Ltd,Minnesota,Accounting and Financial Consultant,Financial Services - Accounting,3. Financial Services & Insurance,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Onesta,Minnesota,Graphic Designer,Retail - Pizza Restaurant,8. Retail & Consumer Products,"Shapes visual identities, user experiences, or product concepts through creative design thinking and iterative prototyping."
OOPS MN,Minnesota,Intern,Nonprofit - Diaper Bank,6. Government & Public Service,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
Open Access Technology International,Minnesota,Junior Software Developer,Technology - Energy Software,1. Technology & Software,"Builds, codes, and deploys software applications or systems, translating requirements into functional, reliable solutions."
Open systems international,Wisconsin,Engineer,Technology - Energy Software,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Open Systems international,Minnesota,Project Engineer,Technology - Energy Software,1. Technology & Software,"Manages technical aspects of engineering projects, coordinating between teams to ensure projects meet specifications and deadlines."
Open Systems International,Minnesota,Software Developer,Technology - Energy Software,1. Technology & Software,"Builds, codes, and deploys software applications or systems, translating requirements into functional, reliable solutions."
Open Systems International,Minnesota,Project Engineer,Technology - Energy Software,1. Technology & Software,"Manages technical aspects of engineering projects, coordinating between teams to ensure projects meet specifications and deadlines."
Optum,Minnesota,Associate actuarial analyst,Healthcare - Health Services & Technology,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Optum,Minnesota,Associate Actuarial Analyst,Healthcare - Health Services & Technology,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Optum,Minnesota,Advisory services analyst,Healthcare - Health Services & Technology,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Optum,Minnesota,Developer,Healthcare - Health Services & Technology,1. Technology & Software,"Builds, codes, and deploys software applications or systems, translating requirements into functional, reliable solutions."
Optum,Minnesota,Claims Rep Associate,Healthcare - Health Services & Technology,1. Technology & Software,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Optum,Montana,Associate Actuarial Analyst,Healthcare - Health Services & Technology,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Optum,Minnesota,Advisory Services Analyst,Healthcare - Health Services & Technology,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Optum,Minnesota,Associate Actuarial Analyst,Healthcare - Health Services & Technology,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Optum,Minnesota,Financial Analyst,Healthcare - Health Services & Technology,1. Technology & Software,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
Optum,Minnesota,Software Engineer,Healthcare - Health Services & Technology,1. Technology & Software,"Designs, develops, tests, and maintains software applications and systems."
Optum,Minnesota,TDP Associate,Healthcare - Health Services & Technology,1. Technology & Software,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Optum,Minnesota,Project Coordinator,Healthcare - Health Services & Technology,1. Technology & Software,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Optum,Minnesota,Advisory Services Analyst,Healthcare - Health Services & Technology,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Oracle,Texas,Business Development Consultant,Technology - Enterprise Software,1. Technology & Software,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Orono Public Schools,Minnesota,Floating Hybrid Teacher,Education - K-12 Public School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Ovative Group,Minnesota,Search Engine Marketing Analyst,Marketing - Digital Marketing,7. Professional Services & Consulting,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Pace Analytical,Minnesota,Scientist,Professional Services - Environmental Testing,7. Professional Services & Consulting,"Applies scientific methods and research techniques to investigate phenomena, interpret data, and develop evidence-based solutions."
Pace Analytical,Minnesota,Scientist,Professional Services - Environmental Testing,7. Professional Services & Consulting,"Applies scientific methods and research techniques to investigate phenomena, interpret data, and develop evidence-based solutions."
Packard Culligan Water,Minnesota,Inside Sales Representative,Retail - Water Treatment,8. Retail & Consumer Products,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
Park Avenue Center,Minnesota,Chemical Dependency Technician,Healthcare - Addiction Treatment,2. Healthcare & Medical,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
Paschal Nwokocha & Chukwu Law Offices,Minnesota,Paralegal,Professional Services - Law Firm,7. Professional Services & Consulting,"Assists attorneys with legal research, document preparation, case management, and trial preparation."
Patterson Dental,Minnesota,Software Engineer 1,Healthcare - Dental Distribution,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Paychex,New York,Business Consultant,Professional Services - Payroll & HR,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Pearson VUE,Minnesota,Associate Software Developer,Education - Testing & Assessment,5. Education & Academia,"Builds, codes, and deploys software applications or systems, translating requirements into functional, reliable solutions."
MIC: Music Industry Connected,Illinois,Music Management and Research Intern,Education - Music Industry,5. Education & Academia,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
Penske Truck Leasing,Pennsylvania,Management Trainee,Transportation - Truck Leasing,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Pentair,Minnesota,Engineering leadership development,Industrial - Water Treatment,Other,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Pentair,Minnesota,Manufacturing Engineer,Industrial - Water Treatment,Other,"Develops and improves manufacturing processes, designs production layouts, and ensures product quality."
People Incorporated,Minnesota,Mental Health Practitioner,Nonprofit - Mental Health & Housing,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Periscope,Minnesota,Associate Account Manager,Technology - Marketing Software,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Periscope,Minnesota,Associate Project Manager,Technology - Marketing Software,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Perkins Restaurant & Bakery,Georgia,Food Server,Hospitality - Restaurant,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Peters Orthodontic Specialists PLLC,Minnesota,"Marketing Manager, Business Consultant",Healthcare - Orthodontics,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Physicians Mutual Insurance Company,Wisconsin,Insurance Agent,Financial Services - Insurance,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Pioneer Management Consulting,Minnesota,Associate Consultant,Professional Services - Consulting,7. Professional Services & Consulting,"Provides analysis and recommendations to clients on business strategy, operations, or technology."
Piper Sandler,Minnesota,Investment Banking Analyst,Financial Services - Investment Banking,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Plum’s Neighborhood Bar and Grill,Minnesota,General Manager,Food & Hospitality,8. Retail & Consumer Products,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Polaris,Minnesota,Validation Engineer,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Polaris,Minnesota,Early Talent Specialist,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Polaris,Minnesota,Sales and Marketing Associate,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Polaris Inc.,Minnesota,Jr. GIS Technician,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
Polaris Inc.,Minnesota,Sourcing Specialist 1,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Pool & Yacht Club,Minnesota,Chef,Hospitality - Country Club,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
prefer not to share,Minnesota,Product Development Engineer,Not Disclosed,Other,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Premier Banks,Minnesota,Loan Officer,Financial Services - Banking,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Presbyterian homes and services,Wisconsin,CNA,Nonprofit - Senior Living,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Prescription Landscape,Minnesota,Accountant,Professional Services - Landscaping,7. Professional Services & Consulting,"Prepares and examines financial records, ensures accuracy, and ensures taxes are paid properly and on time."
PRGX Global Inc.,Georgia,Analyst II,Technology - Profit Recovery,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Primera Technology,Minnesota,International Logistics & Sales Coordinator,Manufacturing - Label Printers,4. Manufacturing & Industrial,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Protiviti,California,Technology Consultant - Security & Privacy (Cybersecurity),Professional Services - Risk Consulting,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
PwC,Minnesota,Tax Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
PwC,,Assurance Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
PwC,Minnesota,Corporate Tax Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
PwC,Minnesota,Audit associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls."
PwC,Minnesota,Tax Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
PwC,Wisconsin,Staff Accountant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Prepares, reviews, and manages financial records, tax filings, and compliance documentation to maintain fiscal accuracy."
PwC,Minnesota,Technology Consultant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
PwC,Minnesota,Assurance Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Quad,Wisconsin,Assitant Media Planner,Manufacturing - Print & Marketing,4. Manufacturing & Industrial,"Develops comprehensive plans and strategies for projects, events, budgets, or community development initiatives."
QubicaAMF Worldwide,Virginia,Independent Contractor,Manufacturing - Bowling Equipment,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Queue-it,Minnesota,Sales Development Representative,Technology - Virtual Queue Software,1. Technology & Software,"Generates new business opportunities through outbound prospecting, cold calling, and email outreach."
R&D Systems,Minnesota,Technical Service Associate,Healthcare - Biotechnology Research,1. Technology & Software,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Radd Interactive,California,PPC Intern,Marketing - Digital Marketing,7. Professional Services & Consulting,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
Radwave Technologies Inc.,Minnesota,Mechanical Engineer,Technology - Wireless Solutions,1. Technology & Software,"Designs, develops, and tests mechanical devices, tools, engines, and machines."
Raytheon,Minnesota,Radar controls and electrical engineer,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Raytheon Missiles & Defense,Arizona,Electrical Engineer,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,"Designs, develops, and tests electrical equipment, systems, and components."
RazorSync LLC,Minnesota,Customer Success Representative,Technology - Field Service Software,1. Technology & Software,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
RBC,Minnesota,Associate II,Financial Services - Banking,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
RBC Wealth Management,Do not live in the United States,Complex Operations Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
RBC Wealth Management,Do not live in the United States,Client Support Services,Financial Services - Wealth Management,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Reaching Up Homework Help,Minnesota,Tutor/Coordinator,Education - Tutoring,5. Education & Academia,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Recovery First Sober Homes,Minnesota,Co-Owner,Nonprofit - Sober Living,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Refined Lending,Minnesota,Mortgage Loan Officer,Financial Services - Mortgage,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Regions Hospital,Minnesota,Mental Health Associate,Healthcare - Hospital,2. Healthcare & Medical,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Renewal by Andersen,Minnesota,Talent Acquisition Coordinator I,Manufacturing - Windows & Doors,4. Manufacturing & Industrial,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Revo Health,Minnesota,Patient Advocate Associate,Healthcare - Healthcare Management,2. Healthcare & Medical,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Rice Lake Weighing,Wisconsin,Sales,Manufacturing - Weighing Equipment,4. Manufacturing & Industrial,"Drives revenue by identifying prospects, building client relationships, and closing deals on products or services."
RIVER VALLEY DENTAL PA,Minnesota,Social Media Specialist,Healthcare - Dental,2. Healthcare & Medical,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
RMS,Minnesota,Tax Associate,Technology - Risk Modeling (Catastrophe),1. Technology & Software,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
rms Surgical,Minnesota,Manufacturing Engineer,Healthcare - Surgical Products,2. Healthcare & Medical,"Develops and improves manufacturing processes, designs production layouts, and ensures product quality."
Robbinsdale Area Schools (in Minnesota),Minnesota,3rd Grade Teacher,Education - K-12 Public School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Robert Half,Minnesota,Senior Technical Recruiter,Professional Services - Staffing,7. Professional Services & Consulting,"Sources, screens, and recruits top talent for open positions, managing the full hiring lifecycle from outreach to offer."
Robot Dragon Studios,Minnesota,Owner,Entertainment - Game Studio,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Rogers High School,Minnesota,11th Grade English Teacher,Education - K-12 Public School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Pennsylvania State University,Illinois,Lab Technician 1,Education - University,5. Education & Academia,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
RSM,Minnesota,Tax Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
RSM,Minnesota,Data Analytics/Business Intelligence Consulting Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Rsm,Minnesota,Accountant,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Prepares and examines financial records, ensures accuracy, and ensures taxes are paid properly and on time."
RSM,Minnesota,Learning Coordinator,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
RR Donnelley,Illinois,Sales Leadership Development Program Associate,Manufacturing - Commercial Printing,4. Manufacturing & Industrial,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
RSM US LLP,Illinois,International Tax Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
RSM US LLP,Minnesota,Digital Marketing Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Rust Consulting,Minnesota,Project Coordinator,Professional Services - Legal Administration,7. Professional Services & Consulting,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
RxSense,Minnesota,Operations Analyst,Technology - Pharmacy Benefits,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
"Ryan, LLC",Minnesota,Commercial Property Tax Consultant,Professional Services - Tax Advisory,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Saint Ambrose of Woodbury Catholic School,Minnesota,Music Teacher,Education - Private K-12,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Saint Mary Magdalen Parish,New Jersey,Pastoral Associate for Adult Faith Formation and Liturgy,Nonprofit - Religious,6. Government & Public Service,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Saint Paul Seminary School of Divinity,Minnesota,Recruitment and Student Services Coordinator,Education - Seminary,5. Education & Academia,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Saint Paul’s Outreach,Minnesota,Missionary,Nonprofit - Religious,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Saint Paul's Outreach,New Jersey,Missionary,Nonprofit - Religious,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Saint Rose Of Lima Catholic Church,Minnesota,Communications Coordinator,Nonprofit - Religious,6. Government & Public Service,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Saint Thomas More Catholic School,Minnesota,3rd Grade Teacher,Education - Private K-12,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Sandvold Financial Group,Minnesota,Marketing Director and Executive Assistant,Financial Services - Financial Planning,3. Financial Services & Insurance,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Saturday Properties,Minnesota,Development Analyst,Real Estate - Property Management,"10. Construction, Engineering & Real Estate","Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Scientific Societies,Minnesota,Membership Experience Manager,Nonprofit - Scientific Organizations,6. Government & Public Service,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
"SCP Investment, LP",California,Operations Associate,Financial Services - Investment,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Seagate,Minnesota,Servo Systems Design Engineer,Manufacturing - Data Storage,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Second Harvest Heartland,Minnesota,Agency Services Coordinator,Nonprofit - Food Bank,6. Government & Public Service,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Securian Financial,Minnesota,Engineering Analyst,Financial Services - Insurance & Wealth,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
