Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Messerli & Kramer P.A.,Minnesota,Legal Assistant,Professional Services - Law Firm,7. Professional Services & Consulting,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Methodist Hospital,New York,Medical Scribe,Healthcare - Hospital,2. Healthcare & Medical,"Documents patient encounters in real-time, assisting physicians with electronic health record documentation."
MetroPlains Management,North Dakota,Financial Analyst,Real Estate - Property Management,"10. Construction, Engineering & Real Estate","Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
Metropolitan abstract,Minnesota,Abstractor,Real Estate - Title & Abstract,"10. Construction, Engineering & Real Estate",A specialized professional role. (Description not available - requires further research.)
MG McGrath,Minnesota,Glass and Glazing Project Manager,Construction - Metal Fabrication & Installation,"10. Construction, Engineering & Real Estate","A professional leadership role responsible for planning, organizing, and overseeing a team or function."
LogicGate,Illinois,Presales & Enablement Specialist,Technology - GRC Software,1. Technology & Software,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Michaels,Minnesota,Cashiering,Retail - Arts & Crafts,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Mid Michigan Wood Specialties,Michigan,Laborer,Manufacturing - Wood Products,4. Manufacturing & Industrial,A specialized professional role. (Description not available - requires further research.)
Midwest Healthy Ag,Minnesota,Research assistant,Manufacturing - Agriculture,4. Manufacturing & Industrial,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Midwest Natural Resources,Minnesota,Field Biologist,Professional Services - Environmental Consulting,7. Professional Services & Consulting,A specialized professional role. (Description not available - requires further research.)
Midwest Secure Retirement,Minnesota,Financial Services Professional,Financial Services - Retirement Planning,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Midwestern Special Services,Minnesota,Direct Support Professional,Healthcare - Disability Services,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
Milliman IntelliScript,Wisconsin,Actuarial Analyst,Financial Services - Actuarial & Insurance,3. Financial Services & Insurance,"Uses mathematics, statistics, and financial theory to study uncertain future events, especially in insurance and pension programs."
Minneapolis Clinic of Neurology,Minnesota,Clinical Research Coordinator,Healthcare - Neurology,2. Healthcare & Medical,"A professional organizational role that manages logistics, schedules, and communication across teams."
Minneapolis Clinic of Neurology,Minnesota,Clinic Assistant,Healthcare - Neurology,2. Healthcare & Medical,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Minneapolis College (MCTC),Minnesota,Latinx Empowerment & Recruitment Program Coordinator,Education - Community College,5. Education & Academia,"A professional organizational role that manages logistics, schedules, and communication across teams."
Minneapolis Regional Chamber,Minnesota,Director of Communications,Nonprofit - Business Association,6. Government & Public Service,A professional senior leadership role setting strategy and overseeing departments or major functions.
Minnesota Department of Employment and Economic Development,Minnesota,HR Transactions Specialist II,Government - State,6. Government & Public Service,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Minnesota DFL,Minnesota,DFL House Finance Intern,Government - Political,6. Government & Public Service,A professional temporary learning position for students or recent graduates to gain professional experience.
Minnesota Hospital Association,Minnesota,Communications Coordinator,Nonprofit - Healthcare Industry Group,2. Healthcare & Medical,"A professional organizational role that manages logistics, schedules, and communication across teams."
Minnesota IT Services,Minnesota,IT2 Asset Coordinator,Government - State IT,6. Government & Public Service,"A professional organizational role that manages logistics, schedules, and communication across teams."
Minnesota Jewish Community Center,Minnesota,Inclusion Coordinator,Nonprofit - Community Center,6. Government & Public Service,"A professional organizational role that manages logistics, schedules, and communication across teams."
Minnesota National Guard,Minnesota,Second Lieutenant,Government - Military,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Minnesota Thunder Academy,Minnesota,Soccer Coach,Entertainment - Youth Soccer,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Minnesota Wild,Minnesota,Promotions Crew,Entertainment - Professional Sports,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Modern Automotive Performance,Minnesota,Senior Demand Planner and Inventory Analyst,Retail - Automotive Performance Parts,8. Retail & Consumer Products,A professional analytical role focused on examining data and providing insights to support decisions.
Mortenson Construction,Minnesota,Accounts receivable,Construction - General,"10. Construction, Engineering & Real Estate",A specialized professional role. (Description not available - requires further research.)
Multifeeder technology,Minnesota,Integration Engineer I,Manufacturing - Paper Feeding Equipment,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Municipal Parking Services,Minnesota,Software Engineer,Transportation - Parking Management,7. Professional Services & Consulting,"Designs, develops, tests, and maintains software applications and systems."
My Global Data Inc.,Minnesota,Software Developer,Technology - Data Services,1. Technology & Software,A professional technical role focused on building and coding software applications or systems.
My Very Own Bed,Minnesota,Intern,Nonprofit - Children,6. Government & Public Service,A professional temporary learning position for students or recent graduates to gain professional experience.
Mystic Lake Casino Hotel,Minnesota,Social Gaming Representative,Hospitality - Casino & Resort,8. Retail & Consumer Products,A professional role serving as a point of contact between an organization and its clients or partners.
Nagios Enterprises,Wisconsin,Sales Development Representative,Technology - IT Monitoring Software,1. Technology & Software,"Generates new business opportunities through outbound prospecting, cold calling, and email outreach."
NASA,Minnesota,Financial Analyst,Government - Federal Space Agency,6. Government & Public Service,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
National Ataxia Foundation,Minnesota,Research services coordinator,Nonprofit - Medical Research,6. Government & Public Service,"A professional organizational role that manages logistics, schedules, and communication across teams."
National Grid Renewables,Minnesota,GIS Intern,Energy - Renewable Energy,9. Energy & Utilities,A professional temporary learning position for students or recent graduates to gain professional experience.
National Grid Renewables,Minnesota,Marketing Associate,Energy - Renewable Energy,9. Energy & Utilities,A professional entry-to-mid level professional contributing to team objectives in their functional area.
National Information Solutions Cooperative,Minnesota,Software Developer,Technology - Utility Software,1. Technology & Software,A professional technical role focused on building and coding software applications or systems.
National Information Solutions Cooperative (NISC),Minnesota,Software Developer,Technology - Utility Software,1. Technology & Software,A professional technical role focused on building and coding software applications or systems.
Nativity Early Learning Center,Minnesota,Lead Teacher,Education - Early Childhood,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Navegate,Minnesota,"Account Manager, import ocean",Professional Services - Management Consulting,7. Professional Services & Consulting,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Naviant,Wisconsin,Business Development Specialist,Technology - Intelligent Automation,1. Technology & Software,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
NetSPI,Minnesota,Sales Development Representative,Technology - Cybersecurity,1. Technology & Software,"Generates new business opportunities through outbound prospecting, cold calling, and email outreach."
NetSPI,Minnesota,Sales Development Representative,Technology - Cybersecurity,1. Technology & Software,"Generates new business opportunities through outbound prospecting, cold calling, and email outreach."
NetSPI,Minnesota,Sales Development Representative,Technology - Cybersecurity,1. Technology & Software,"Generates new business opportunities through outbound prospecting, cold calling, and email outreach."
NetWorth Realty USA,Texas,Sales Associate,Real Estate - Investment,"10. Construction, Engineering & Real Estate","Assists customers in retail or business settings, processes transactions, and meets sales targets."
New Hudson Facades,Minnesota,Mechanical engineer I,Construction - Building Facades,"10. Construction, Engineering & Real Estate","A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Newell Brands,Georgia,Finance Analyst,Manufacturing - Consumer Products,4. Manufacturing & Industrial,A professional analytical role focused on examining data and providing insights to support decisions.
NISC,Minnesota,System Specialist,Technology - Utility Software,1. Technology & Software,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
No,Minnesota,Developer,Not Disclosed,Other,A professional technical role focused on building and coding software applications or systems.
Nomi Network,New York,Development Admin,Nonprofit - Anti-Trafficking,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Nonviolent Peaceforce,Do not live in the United States,Volunteer Coordinator,Nonprofit - Peacebuilding,6. Government & Public Service,"A professional organizational role that manages logistics, schedules, and communication across teams."
Nordson Medical,Minnesota,Engineer I,Healthcare - Medical Device Manufacturing,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Nordstrom,Washington,Customer Service Experience Representative,Retail - Department Store,8. Retail & Consumer Products,A professional role serving as a point of contact between an organization and its clients or partners.
North Star Resource Group,Minnesota,Practice Coordinator,Financial Services - Financial Planning,3. Financial Services & Insurance,"A professional organizational role that manages logistics, schedules, and communication across teams."
NorthMarq,Minnesota,Loan Operations Coordinator,Financial Services - Commercial Real Estate Finance,3. Financial Services & Insurance,"A professional organizational role that manages logistics, schedules, and communication across teams."
Northrop Grumman,Minnesota,Production transition engineer,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Northwestern Mutual,Minnesota,Associate Financial Representative,Financial Services - Life Insurance & Wealth,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Northwestern Mutual,Wisconsin,Campus Recruiter,Financial Services - Life Insurance & Wealth,3. Financial Services & Insurance,"A professional identifies, attracts, and hires talented candidates for open positions."
Northwestern Mutual,Minnesota,Recruiting Coordinator,Financial Services - Life Insurance & Wealth,3. Financial Services & Insurance,"A professional organizational role that manages logistics, schedules, and communication across teams."
Nuveen,Minnesota,Investment Performance Analyst,Financial Services - Investment Management,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
NYLIFE Securities LLC,New York,Financial Services Professional,Financial Services - Life Insurance,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Ol' Mexico Restaurante & Cantina,Minnesota,Manager,Hospitality - Restaurant,8. Retail & Consumer Products,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Olives Fresh,Minnesota,Kitchen Staff,Retail - Grocery,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Olufemi B Ijadimbola CPA Ltd,Minnesota,Accounting and Financial Consultant,Financial Services - Accounting,3. Financial Services & Insurance,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Onesta,Minnesota,Graphic Designer,Retail - Pizza Restaurant,8. Retail & Consumer Products,"A professional creative role focused on designing visual, user experience, or product solutions."
OOPS MN,Minnesota,Intern,Nonprofit - Diaper Bank,6. Government & Public Service,A professional temporary learning position for students or recent graduates to gain professional experience.
Open Access Technology International,Minnesota,Junior Software Developer,Technology - Energy Software,1. Technology & Software,A professional technical role focused on building and coding software applications or systems.
Open systems international,Wisconsin,Engineer,Technology - Energy Software,1. Technology & Software,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Open Systems international,Minnesota,Project Engineer,Technology - Energy Software,1. Technology & Software,"Manages technical aspects of engineering projects, coordinating between teams to ensure projects meet specifications and deadlines."
Open Systems International,Minnesota,Software Developer,Technology - Energy Software,1. Technology & Software,A professional technical role focused on building and coding software applications or systems.
Open Systems International,Minnesota,Project Engineer,Technology - Energy Software,1. Technology & Software,"Manages technical aspects of engineering projects, coordinating between teams to ensure projects meet specifications and deadlines."
Optum,Minnesota,Associate actuarial analyst,Healthcare - Health Services & Technology,1. Technology & Software,A professional analytical role focused on examining data and providing insights to support decisions.
Optum,Minnesota,Associate Actuarial Analyst,Healthcare - Health Services & Technology,1. Technology & Software,A professional analytical role focused on examining data and providing insights to support decisions.
Optum,Minnesota,Advisory services analyst,Healthcare - Health Services & Technology,1. Technology & Software,A professional analytical role focused on examining data and providing insights to support decisions.
Optum,Minnesota,Developer,Healthcare - Health Services & Technology,1. Technology & Software,A professional technical role focused on building and coding software applications or systems.
Optum,Minnesota,Claims Rep Associate,Healthcare - Health Services & Technology,1. Technology & Software,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Optum,Montana,Associate Actuarial Analyst,Healthcare - Health Services & Technology,1. Technology & Software,A professional analytical role focused on examining data and providing insights to support decisions.
Optum,Minnesota,Advisory Services Analyst,Healthcare - Health Services & Technology,1. Technology & Software,A professional analytical role focused on examining data and providing insights to support decisions.
Optum,Minnesota,Associate Actuarial Analyst,Healthcare - Health Services & Technology,1. Technology & Software,A professional analytical role focused on examining data and providing insights to support decisions.
Optum,Minnesota,Financial Analyst,Healthcare - Health Services & Technology,1. Technology & Software,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
Optum,Minnesota,Software Engineer,Healthcare - Health Services & Technology,1. Technology & Software,"Designs, develops, tests, and maintains software applications and systems."
Optum,Minnesota,TDP Associate,Healthcare - Health Services & Technology,1. Technology & Software,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Optum,Minnesota,Project Coordinator,Healthcare - Health Services & Technology,1. Technology & Software,"A professional organizational role that manages logistics, schedules, and communication across teams."
Optum,Minnesota,Advisory Services Analyst,Healthcare - Health Services & Technology,1. Technology & Software,A professional analytical role focused on examining data and providing insights to support decisions.
Oracle,Texas,Business Development Consultant,Technology - Enterprise Software,1. Technology & Software,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Orono Public Schools,Minnesota,Floating Hybrid Teacher,Education - K-12 Public School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Ovative Group,Minnesota,Search Engine Marketing Analyst,Marketing - Digital Marketing,7. Professional Services & Consulting,A professional analytical role focused on examining data and providing insights to support decisions.
Pace Analytical,Minnesota,Scientist,Professional Services - Environmental Testing,7. Professional Services & Consulting,A professional research role applying scientific methods to study phenomena and develop solutions.
Pace Analytical,Minnesota,Scientist,Professional Services - Environmental Testing,7. Professional Services & Consulting,A professional research role applying scientific methods to study phenomena and develop solutions.
Packard Culligan Water,Minnesota,Inside Sales Representative,Retail - Water Treatment,8. Retail & Consumer Products,A professional role serving as a point of contact between an organization and its clients or partners.
Park Avenue Center,Minnesota,Chemical Dependency Technician,Healthcare - Addiction Treatment,2. Healthcare & Medical,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
Paschal Nwokocha & Chukwu Law Offices,Minnesota,Paralegal,Professional Services - Law Firm,7. Professional Services & Consulting,"Assists attorneys with legal research, document preparation, case management, and trial preparation."
Patterson Dental,Minnesota,Software Engineer 1,Healthcare - Dental Distribution,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Paychex,New York,Business Consultant,Professional Services - Payroll & HR,7. Professional Services & Consulting,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Pearson VUE,Minnesota,Associate Software Developer,Education - Testing & Assessment,5. Education & Academia,A professional technical role focused on building and coding software applications or systems.
MIC: Music Industry Connected,Illinois,Music Management and Research Intern,Education - Music Industry,5. Education & Academia,A professional temporary learning position for students or recent graduates to gain professional experience.
Penske Truck Leasing,Pennsylvania,Management Trainee,Transportation - Truck Leasing,7. Professional Services & Consulting,A specialized professional role. (Description not available - requires further research.)
Pentair,Minnesota,Engineering leadership development,Industrial - Water Treatment,Other,A specialized professional role. (Description not available - requires further research.)
Pentair,Minnesota,Manufacturing Engineer,Industrial - Water Treatment,Other,"Develops and improves manufacturing processes, designs production layouts, and ensures product quality."
People Incorporated,Minnesota,Mental Health Practitioner,Nonprofit - Mental Health & Housing,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Periscope,Minnesota,Associate Account Manager,Technology - Marketing Software,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Periscope,Minnesota,Associate Project Manager,Technology - Marketing Software,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Perkins Restaurant & Bakery,Georgia,Food Server,Hospitality - Restaurant,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Peters Orthodontic Specialists PLLC,Minnesota,"Marketing Manager, Business Consultant",Healthcare - Orthodontics,2. Healthcare & Medical,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Physicians Mutual Insurance Company,Wisconsin,Insurance Agent,Financial Services - Insurance,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Pioneer Management Consulting,Minnesota,Associate Consultant,Professional Services - Consulting,7. Professional Services & Consulting,"Provides analysis and recommendations to clients on business strategy, operations, or technology."
Piper Sandler,Minnesota,Investment Banking Analyst,Financial Services - Investment Banking,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Plum’s Neighborhood Bar and Grill,Minnesota,General Manager,Food & Hospitality,8. Retail & Consumer Products,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Polaris,Minnesota,Validation Engineer,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Polaris,Minnesota,Early Talent Specialist,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Polaris,Minnesota,Sales and Marketing Associate,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Polaris Inc.,Minnesota,Jr. GIS Technician,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
Polaris Inc.,Minnesota,Sourcing Specialist 1,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Pool & Yacht Club,Minnesota,Chef,Hospitality - Country Club,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
prefer not to share,Minnesota,Product Development Engineer,Not Disclosed,Other,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Premier Banks,Minnesota,Loan Officer,Financial Services - Banking,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Presbyterian homes and services,Wisconsin,CNA,Nonprofit - Senior Living,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Prescription Landscape,Minnesota,Accountant,Professional Services - Landscaping,7. Professional Services & Consulting,"Prepares and examines financial records, ensures accuracy, and ensures taxes are paid properly and on time."
PRGX Global Inc.,Georgia,Analyst II,Technology - Profit Recovery,1. Technology & Software,A professional analytical role focused on examining data and providing insights to support decisions.
Primera Technology,Minnesota,International Logistics & Sales Coordinator,Manufacturing - Label Printers,4. Manufacturing & Industrial,"A professional organizational role that manages logistics, schedules, and communication across teams."
Protiviti,California,Technology Consultant - Security & Privacy (Cybersecurity),Professional Services - Risk Consulting,7. Professional Services & Consulting,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
PwC,Minnesota,Tax Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
PwC,,Assurance Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,A professional entry-to-mid level professional contributing to team objectives in their functional area.
PwC,Minnesota,Corporate Tax Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,A professional entry-to-mid level professional contributing to team objectives in their functional area.
PwC,Minnesota,Audit associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls."
PwC,Minnesota,Tax Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
PwC,Wisconsin,Staff Accountant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"A professional financial role preparing, examining, and managing financial records and tax documents."
PwC,Minnesota,Technology Consultant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
PwC,Minnesota,Assurance Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Quad,Wisconsin,Assitant Media Planner,Manufacturing - Print & Marketing,4. Manufacturing & Industrial,"A professional develops plans and strategies for projects, events, finances, or urban development."
QubicaAMF Worldwide,Virginia,Independent Contractor,Manufacturing - Bowling Equipment,4. Manufacturing & Industrial,A specialized professional role. (Description not available - requires further research.)
Queue-it,Minnesota,Sales Development Representative,Technology - Virtual Queue Software,1. Technology & Software,"Generates new business opportunities through outbound prospecting, cold calling, and email outreach."
R&D Systems,Minnesota,Technical Service Associate,Healthcare - Biotechnology Research,1. Technology & Software,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Radd Interactive,California,PPC Intern,Marketing - Digital Marketing,7. Professional Services & Consulting,A professional temporary learning position for students or recent graduates to gain professional experience.
Radwave Technologies Inc.,Minnesota,Mechanical Engineer,Technology - Wireless Solutions,1. Technology & Software,"Designs, develops, and tests mechanical devices, tools, engines, and machines."
Raytheon,Minnesota,Radar controls and electrical engineer,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Raytheon Missiles & Defense,Arizona,Electrical Engineer,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,"Designs, develops, and tests electrical equipment, systems, and components."
RazorSync LLC,Minnesota,Customer Success Representative,Technology - Field Service Software,1. Technology & Software,A professional role serving as a point of contact between an organization and its clients or partners.
RBC,Minnesota,Associate II,Financial Services - Banking,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
RBC Wealth Management,Do not live in the United States,Complex Operations Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
RBC Wealth Management,Do not live in the United States,Client Support Services,Financial Services - Wealth Management,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Reaching Up Homework Help,Minnesota,Tutor/Coordinator,Education - Tutoring,5. Education & Academia,"A professional organizational role that manages logistics, schedules, and communication across teams."
Recovery First Sober Homes,Minnesota,Co-Owner,Nonprofit - Sober Living,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Refined Lending,Minnesota,Mortgage Loan Officer,Financial Services - Mortgage,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Regions Hospital,Minnesota,Mental Health Associate,Healthcare - Hospital,2. Healthcare & Medical,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Renewal by Andersen,Minnesota,Talent Acquisition Coordinator I,Manufacturing - Windows & Doors,4. Manufacturing & Industrial,"A professional organizational role that manages logistics, schedules, and communication across teams."
Revo Health,Minnesota,Patient Advocate Associate,Healthcare - Healthcare Management,2. Healthcare & Medical,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Rice Lake Weighing,Wisconsin,Sales,Manufacturing - Weighing Equipment,4. Manufacturing & Industrial,A professional revenue-generating role focused on selling products or services to customers.
RIVER VALLEY DENTAL PA,Minnesota,Social Media Specialist,Healthcare - Dental,2. Healthcare & Medical,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
RMS,Minnesota,Tax Associate,Technology - Risk Modeling (Catastrophe),1. Technology & Software,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
rms Surgical,Minnesota,Manufacturing Engineer,Healthcare - Surgical Products,2. Healthcare & Medical,"Develops and improves manufacturing processes, designs production layouts, and ensures product quality."
Robbinsdale Area Schools (in Minnesota),Minnesota,3rd Grade Teacher,Education - K-12 Public School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Robert Half,Minnesota,Senior Technical Recruiter,Professional Services - Staffing,7. Professional Services & Consulting,"A professional identifies, attracts, and hires talented candidates for open positions."
Robot Dragon Studios,Minnesota,Owner,Entertainment - Game Studio,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Rogers High School,Minnesota,11th Grade English Teacher,Education - K-12 Public School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Pennsylvania State University,Illinois,Lab Technician 1,Education - University,5. Education & Academia,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
RSM,Minnesota,Tax Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
RSM,Minnesota,Data Analytics/Business Intelligence Consulting Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Rsm,Minnesota,Accountant,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Prepares and examines financial records, ensures accuracy, and ensures taxes are paid properly and on time."
RSM,Minnesota,Learning Coordinator,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"A professional organizational role that manages logistics, schedules, and communication across teams."
RR Donnelley,Illinois,Sales Leadership Development Program Associate,Manufacturing - Commercial Printing,4. Manufacturing & Industrial,A professional entry-to-mid level professional contributing to team objectives in their functional area.
RSM US LLP,Illinois,International Tax Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
RSM US LLP,Minnesota,Digital Marketing Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Rust Consulting,Minnesota,Project Coordinator,Professional Services - Legal Administration,7. Professional Services & Consulting,"A professional organizational role that manages logistics, schedules, and communication across teams."
RxSense,Minnesota,Operations Analyst,Technology - Pharmacy Benefits,1. Technology & Software,A professional analytical role focused on examining data and providing insights to support decisions.
"Ryan, LLC",Minnesota,Commercial Property Tax Consultant,Professional Services - Tax Advisory,7. Professional Services & Consulting,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Saint Ambrose of Woodbury Catholic School,Minnesota,Music Teacher,Education - Private K-12,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Saint Mary Magdalen Parish,New Jersey,Pastoral Associate for Adult Faith Formation and Liturgy,Nonprofit - Religious,6. Government & Public Service,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Saint Paul Seminary School of Divinity,Minnesota,Recruitment and Student Services Coordinator,Education - Seminary,5. Education & Academia,"A professional organizational role that manages logistics, schedules, and communication across teams."
Saint Paul’s Outreach,Minnesota,Missionary,Nonprofit - Religious,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Saint Paul's Outreach,New Jersey,Missionary,Nonprofit - Religious,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Saint Rose Of Lima Catholic Church,Minnesota,Communications Coordinator,Nonprofit - Religious,6. Government & Public Service,"A professional organizational role that manages logistics, schedules, and communication across teams."
Saint Thomas More Catholic School,Minnesota,3rd Grade Teacher,Education - Private K-12,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Sandvold Financial Group,Minnesota,Marketing Director and Executive Assistant,Financial Services - Financial Planning,3. Financial Services & Insurance,A professional senior leadership role setting strategy and overseeing departments or major functions.
Saturday Properties,Minnesota,Development Analyst,Real Estate - Property Management,"10. Construction, Engineering & Real Estate",A professional analytical role focused on examining data and providing insights to support decisions.
Scientific Societies,Minnesota,Membership Experience Manager,Nonprofit - Scientific Organizations,6. Government & Public Service,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
"SCP Investment, LP",California,Operations Associate,Financial Services - Investment,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Seagate,Minnesota,Servo Systems Design Engineer,Manufacturing - Data Storage,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Second Harvest Heartland,Minnesota,Agency Services Coordinator,Nonprofit - Food Bank,6. Government & Public Service,"A professional organizational role that manages logistics, schedules, and communication across teams."
Securian Financial,Minnesota,Engineering Analyst,Financial Services - Insurance & Wealth,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Securian Financial,Minnesota,Business Leadership Analyst,Financial Services - Insurance & Wealth,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Self-employed,Minnesota,Project Manager,Self-Employed,Other,"Plans, executes, and closes projects, managing scope, schedule, budget, and team resources."
"Semaphore Solutions, Inc.",California,Digital Media Sales Assistant,Technology - Software,1. Technology & Software,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Sensonix Inc,Minnesota,Design Engineer,Manufacturing - Sensors,4. Manufacturing & Industrial,Creates detailed designs for products or components using CAD software and engineering principles.
