Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
International Business,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Appraiser,Real Estate,Deloitte,Professional Services & Consulting,IL
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Real Estate Analyst,Real Estate,CBRE Group,Construction / Engineering / Real Estate,IL
Philosophy,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2021,Account Executive,Sales & Business Development,Accenture,Professional Services & Consulting,MN
International Business,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Inspector,Construction & Trades,Cargill,Retail & Consumer Products,SD
Operations Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Teaching Assistant,Education & Teaching,Accenture,Professional Services & Consulting,MN
Entrepreneurship,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Office Manager,Administrative & Support,AWS,Technology & Software,MN
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Web Developer,Software & IT,PwC,Professional Services & Consulting,OH
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Leasing Agent,Real Estate,Polaris,Manufacturing & Industrial,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Inside Sales Rep,Sales & Business Development,Mortenson,Construction / Engineering / Real Estate,MN
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Real Estate Associate,Real Estate,Great River Energy,Energy & Utilities,MN
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Legal Assistant,Legal,Allianz,Financial Services & Insurance,WA
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Paralegal,Legal,Ryan Companies,Construction / Engineering / Real Estate,IA
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Clinical Research Associate,Research & Science,Allianz,Financial Services & Insurance,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Content Strategist,Marketing & Communications,General Mills,Retail & Consumer Products,CO
Sociology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2025,Legislative Aide,Government & Public Service,Minneapolis Public Schools,Education & Academia,MN
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2020,Creative Director,Design & Creative,UnitedHealth Group,Healthcare & Medical,CA
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2021,Teaching Assistant,Education & Teaching,Osseo Area Schools,Education & Academia,CA
Software Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,Tutor,Education & Teaching,Intel,Technology & Software,WA
Electrical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Software Engineer,Software & IT,General Mills,Retail & Consumer Products,GA
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2025,Visual Designer,Design & Creative,Children's Minnesota,Healthcare & Medical,MN
Spanish Cultural/Literary St.,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2024,Multimedia Specialist,Design & Creative,PwC,Professional Services & Consulting,MN
Public Health,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2023,Clinical Research Associate,Research & Science,University of St. Thomas,Education & Academia,OH
Exercise Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2025,Financial Analyst,Finance & Accounting,UnitedHealth Group,Healthcare & Medical,SD
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2019,Tutor,Education & Teaching,Wells Fargo,Financial Services & Insurance,IL
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Auditor,Finance & Accounting,Mortenson,Construction / Engineering / Real Estate,MN
Spanish Cultural/Literary St.,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2021,Health Coach,Healthcare & Clinical,Wayzata Public Schools,Education & Academia,MN
Economics - Business,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Research Assistant,Research & Science,KPMG,Financial Services & Insurance,NY
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2020,Tutor,Education & Teaching,Hennepin County,Government & Public Service,CA
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Consultant,Consulting & Advisory,Grant Thornton,Professional Services & Consulting,IL
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Project Manager,Management & Leadership,EY,Financial Services & Insurance,MN
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Civil Engineer,Engineering,AWS,Technology & Software,IA
Exercise Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2021,Program Manager,Management & Leadership,Abbott Laboratories,Healthcare & Medical,GA
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2021,Electrical Engineer,Engineering,Microsoft,Technology & Software,NE
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Accountant,Finance & Accounting,Medtronic,Manufacturing & Industrial,SD
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Underwriter,Finance & Accounting,Fairview,Healthcare & Medical,OH
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Tutor,Education & Teaching,Boston Consulting Group,Professional Services & Consulting,NE
Neuroscience,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2019,Research Scientist,Research & Science,CBRE Group,Construction / Engineering / Real Estate,CA
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2022,Data Scientist,Data & Analytics,Accenture,Professional Services & Consulting,GA
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2021,Data Scientist,Data & Analytics,Target (Tech),Technology & Software,ND
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Brand Manager,Marketing & Communications,Target,Retail & Consumer Products,MN
Exercise Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2020,Social Worker,Nonprofit & Social Services,St. Paul Public Schools,Education & Academia,MA
Entrepreneurship,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Auditor,Finance & Accounting,Google,Technology & Software,MN
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,HR Coordinator,Human Resources,Target (Tech),Technology & Software,WA
Software Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Quantitative Analyst,Data & Analytics,Accenture,Technology & Software,GA
Entrepreneurship,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Advisory Associate,Consulting & Advisory,Mortenson,Construction / Engineering / Real Estate,NY
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2025,Community Outreach Specialist,Nonprofit & Social Services,University of St. Thomas,Education & Academia,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,City Planner,Government & Public Service,KPMG,Financial Services & Insurance,MN
Art History,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2023,Public Administrator,Government & Public Service,US Bank,Financial Services & Insurance,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Social Media Manager,Marketing & Communications,Best Buy,Retail & Consumer Products,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Estimator,Construction & Trades,Securian Financial,Financial Services & Insurance,NE
COJO Strategic Communications,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2019,Content Strategist,Marketing & Communications,Abbott Laboratories,Healthcare & Medical,MN
Music - Business,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2022,Financial Analyst,Finance & Accounting,EY,Professional Services & Consulting,CO
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2021,Operations Manager,Operations & Supply Chain,Toro Company,Manufacturing & Industrial,CO
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Auditor,Finance & Accounting,Allianz,Financial Services & Insurance,MN
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2021,Quantitative Analyst,Data & Analytics,Medtronic,Manufacturing & Industrial,TX
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Account Executive,Sales & Business Development,Deloitte,Financial Services & Insurance,CO
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Team Lead,Management & Leadership,Accenture,Technology & Software,ND
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Financial Analyst,Finance & Accounting,General Mills,Retail & Consumer Products,CA
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2023,Health Coach,Healthcare & Clinical,Mayo Clinic,Healthcare & Medical,TX
Entrepreneurship,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Account Executive,Sales & Business Development,Land O'Lakes,Retail & Consumer Products,CA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,City Planner,Government & Public Service,Fastenal,Retail & Consumer Products,ND
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2025,Clinical Research Coordinator,Healthcare & Clinical,Xcel Energy,Energy & Utilities,MN
Exercise Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2021,Assistant,Other,Fairview,Healthcare & Medical,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,PR Specialist,Marketing & Communications,KPMG,Financial Services & Insurance,FL
Data Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Marketing Coordinator,Marketing & Communications,Accenture,Technology & Software,MA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Real Estate Associate,Real Estate,Xcel Energy,Energy & Utilities,MN
Criminal Justice,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2021,Registered Nurse,Healthcare & Clinical,Grant Thornton,Professional Services & Consulting,GA
Manufacturing Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,DevOps Engineer,Software & IT,Google,Technology & Software,IA
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Case Manager,Nonprofit & Social Services,Wayzata Public Schools,Education & Academia,MN
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2024,Teacher,Education & Teaching,IBM,Technology & Software,IL
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Marketing Coordinator,Marketing & Communications,Medtronic,Healthcare & Medical,NY
Electrical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Advisory Associate,Consulting & Advisory,Microsoft,Technology & Software,MN
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Financial Analyst,Finance & Accounting,Medtronic,Healthcare & Medical,MN
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Systems Administrator,Software & IT,McKinsey,Professional Services & Consulting,TX
Economics - Business,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,PR Specialist,Marketing & Communications,Securian Financial,Financial Services & Insurance,ND
Digital Media Arts,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2024,Visual Designer,Design & Creative,Target,Retail & Consumer Products,NE
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Leasing Agent,Real Estate,NextEra Energy,Energy & Utilities,OH
Political Science,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2025,Brand Manager,Marketing & Communications,Ryan Companies,Construction / Engineering / Real Estate,MN
Educational Studies,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2023,Systems Administrator,Software & IT,University of St. Thomas,Education & Academia,IA
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Financial Analyst,Finance & Accounting,City of Minneapolis,Government & Public Service,SD
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Site Supervisor,Construction & Trades,Wayzata Public Schools,Education & Academia,SD
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Tutor,Education & Teaching,RBC Wealth Management,Financial Services & Insurance,TX
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Executive Assistant,Administrative & Support,Accenture,Technology & Software,IA
Neuroscience,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2021,Lab Technician,Research & Science,Children's Minnesota,Healthcare & Medical,NY
Environmental Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2025,Physical Therapist,Healthcare & Clinical,Abbott Northwestern Hospital,Healthcare & Medical,ND
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Systems Administrator,Software & IT,McKinsey,Professional Services & Consulting,MN
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Office Coordinator,Administrative & Support,Sleep Number,Retail & Consumer Products,GA
Biochemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2019,Operations Director,Management & Leadership,Microsoft,Technology & Software,MA
Exercise Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2022,Clinical Research Associate,Research & Science,Optum,Healthcare & Medical,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Account Manager,Sales & Business Development,Cargill,Retail & Consumer Products,MN
Journalism,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2019,Operations Manager,Operations & Supply Chain,3M,Technology & Software,CA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Tax Associate,Finance & Accounting,CBRE Group,Construction / Engineering / Real Estate,GA
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2022,Physical Therapist,Healthcare & Clinical,Wayzata Public Schools,Education & Academia,WA
Public Health,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Data Scientist,Data & Analytics,Great River Energy,Energy & Utilities,SD
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Compliance Analyst,Legal,Intel,Technology & Software,FL
Economics - Business,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Tax Associate,Finance & Accounting,Boston Consulting Group,Professional Services & Consulting,SD
Political Science,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2022,Supply Chain Coordinator,Operations & Supply Chain,St. Paul Public Schools,Education & Academia,IL
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Quantitative Analyst,Data & Analytics,Medtronic,Manufacturing & Industrial,MA
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2025,Scientist,Research & Science,Optum,Healthcare & Medical,MN
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Paralegal,Legal,Toro Company,Manufacturing & Industrial,OH
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,Site Supervisor,Construction & Trades,Medtronic,Healthcare & Medical,MN
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2024,Research Assistant,Research & Science,Sleep Number,Retail & Consumer Products,MA
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2023,Case Manager,Nonprofit & Social Services,Best Buy,Retail & Consumer Products,OH
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Legislative Aide,Government & Public Service,KPMG,Financial Services & Insurance,TX
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2021,Design Engineer,Engineering,State of Minnesota,Government & Public Service,MN
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Assistant Manager,Management & Leadership,AWS,Technology & Software,IA
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2021,Content Strategist,Marketing & Communications,Allina Health,Healthcare & Medical,MN
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2023,Case Manager,Nonprofit & Social Services,Osseo Area Schools,Education & Academia,NY
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2024,Physical Therapist,Healthcare & Clinical,University of St. Thomas,Education & Academia,FL
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2022,Scientist,Research & Science,University of St. Thomas,Education & Academia,MN
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Assistant Manager,Management & Leadership,Target,Retail & Consumer Products,MN
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Talent Acquisition Specialist,Human Resources,Cargill,Retail & Consumer Products,NE
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Marketing Coordinator,Marketing & Communications,Boston Consulting Group,Professional Services & Consulting,TX
Data Analytics,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Analytics Consultant,Data & Analytics,General Mills,Manufacturing & Industrial,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Business Development Associate,Sales & Business Development,KPMG,Professional Services & Consulting,CO
Chemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2023,Tax Associate,Finance & Accounting,UnitedHealth Group,Healthcare & Medical,MN
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Property Manager,Real Estate,University of St. Thomas,Education & Academia,ND
Environmental Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2021,Property Manager,Real Estate,Optum,Healthcare & Medical,WI
Chemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Physical Therapist,Healthcare & Clinical,Medtronic,Healthcare & Medical,MN
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2025,Management Consultant,Consulting & Advisory,Abbott Laboratories,Healthcare & Medical,MN
Exercise Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2019,Systems Administrator,Software & IT,UnitedHealth Group,Healthcare & Medical,IA
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2021,Instructor,Education & Teaching,St. Paul Public Schools,Education & Academia,MN
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2021,Grant Writer,Nonprofit & Social Services,Minneapolis Public Schools,Education & Academia,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Brand Manager,Marketing & Communications,Target,Retail & Consumer Products,MN
Computer Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Systems Administrator,Software & IT,Xcel Energy,Energy & Utilities,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Team Lead,Management & Leadership,EY,Financial Services & Insurance,SD
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Team Lead,Management & Leadership,Abbott Northwestern Hospital,Healthcare & Medical,MN
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Auditor,Finance & Accounting,McKinsey,Professional Services & Consulting,CO
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2023,Medical Assistant,Healthcare & Clinical,Wayzata Public Schools,Education & Academia,SD
Political Science,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2022,Case Manager,Nonprofit & Social Services,Peace Corps,Government & Public Service,WI
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,UX Designer,Design & Creative,Optum,Technology & Software,WA
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Program Manager,Management & Leadership,Target (Tech),Technology & Software,TX
Operations Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Program Coordinator,Nonprofit & Social Services,McGough Construction,Construction / Engineering / Real Estate,WI
Philosophy,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2025,Real Estate Analyst,Real Estate,Abbott Laboratories,Healthcare & Medical,CO
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Software Engineer,Software & IT,Optum,Technology & Software,GA
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,DevOps Engineer,Software & IT,3M,Manufacturing & Industrial,CA
Educational Studies,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2021,Recruiter,Human Resources,UnitedHealth Group,Technology & Software,NY
Journalism,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2025,Program Coordinator,Nonprofit & Social Services,Fastenal,Retail & Consumer Products,NE
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Sales Representative,Sales & Business Development,AmeriCorps,Government & Public Service,MN
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Project Manager,Management & Leadership,Accenture,Professional Services & Consulting,WI
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2019,Education Coordinator,Education & Teaching,Abbott Laboratories,Healthcare & Medical,CA
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Visual Designer,Design & Creative,Best Buy,Retail & Consumer Products,WI
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Systems Administrator,Software & IT,UnitedHealth Group,Technology & Software,MA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Program Manager,Management & Leadership,Best Buy,Retail & Consumer Products,GA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Auditor,Finance & Accounting,Boston Consulting Group,Professional Services & Consulting,OH
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Legal Coordinator,Legal,KPMG,Financial Services & Insurance,NY
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,IT Analyst,Software & IT,Kraus-Anderson,Construction / Engineering / Real Estate,CO
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Legal Coordinator,Legal,Abbott Northwestern Hospital,Healthcare & Medical,GA
Public Health,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2025,Compliance Analyst,Legal,Minneapolis Public Schools,Education & Academia,NY
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Financial Analyst,Finance & Accounting,Accenture,Professional Services & Consulting,FL
Computer Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Administrative Assistant,Administrative & Support,Intel,Technology & Software,ND
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,Data Scientist,Data & Analytics,Honeywell,Manufacturing & Industrial,NE
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2020,Coordinator,Other,Kraus-Anderson,Construction / Engineering / Real Estate,FL
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Auditor,Finance & Accounting,CBRE Group,Construction / Engineering / Real Estate,MN
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2021,Teacher,Education & Teaching,Allina Health,Healthcare & Medical,MN
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2023,Account Manager,Sales & Business Development,UnitedHealth Group,Technology & Software,SD
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Data Analyst,Data & Analytics,Medtronic,Manufacturing & Industrial,MN
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Creative Director,Design & Creative,Deloitte,Financial Services & Insurance,SD
Real Estate Studies,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Operations Director,Management & Leadership,Osseo Area Schools,Education & Academia,MN
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Business Development Associate,Sales & Business Development,PwC,Financial Services & Insurance,MN
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Policy Analyst,Government & Public Service,Ameriprise Financial,Financial Services & Insurance,FL
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Health Coach,Healthcare & Clinical,Land O'Lakes,Retail & Consumer Products,GA
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2021,Quantitative Analyst,Data & Analytics,McKinsey,Professional Services & Consulting,ND
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Construction Manager,Construction & Trades,Deloitte,Professional Services & Consulting,NE
Sociology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2020,Social Worker,Nonprofit & Social Services,Fairview,Healthcare & Medical,OH
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,Design Engineer,Engineering,Allianz,Financial Services & Insurance,NY
Operations Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Financial Analyst,Finance & Accounting,Sleep Number,Retail & Consumer Products,CO
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Community Outreach Specialist,Nonprofit & Social Services,Intel,Technology & Software,CA
Strategic Comm: Ad and PR,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2022,Creative Director,Design & Creative,Fastenal,Retail & Consumer Products,TX
Data Analytics,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,Systems Administrator,Software & IT,Optum,Technology & Software,NY
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Coordinator,Other,Deloitte,Professional Services & Consulting,FL
Data Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,DevOps Engineer,Software & IT,UnitedHealth Group,Technology & Software,MN
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,HR Generalist,Human Resources,Medtronic,Healthcare & Medical,SD
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2021,Grant Writer,Nonprofit & Social Services,Hennepin County,Government & Public Service,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Policy Analyst,Government & Public Service,KPMG,Financial Services & Insurance,TX
